izdavanje,stan,250 €,"obavezan depozit, 250 €",,Kragujevac,Gradske lokacije,Vašarište,Veliki Park,52m²,,2 sobe,,,,,,,,terasa,,"1 garažno mesto, u sklopu zgrade",kupatilo,namešteno,,,,,,,,,,119HX,Izdaje se stan u novogradnji. Stan je kompletno opremljen. Pogodan je za porodicu. Izdaje se na duzi vremenski period. Grejanje je na gas. Poseduje garazno mesto.,https://www.4zida.rs/izdavanje/stanovi/kragujevac/oglas/veliki-park/613c8b1bc74c4d11a535762c
izdavanje,stan,250 €,obavezan depozit,,Kragujevac,Gradske lokacije,Ozon,Ozon,60m²,,2 sobe,,grejanje na gas,,novo,,3/4 sprata (nije poslednji sprat),ima lift (1),terase (2),1 parking mesto,,kupatilo,polunamešteno,kuhinjski elementi,,,,,,,,,151HX,Izdaje se prazan stan u novogradnji kao poslovni prostor. Kuhinja ce biti ubacena. Stan je dvosoban i ima dve terase. Grejanje je na gas. Poseduje parking mesto.,https://www.4zida.rs/izdavanje/stanovi/kragujevac/oglas/ozon/61f814541041471aaa1ff305
izdavanje,stan,250 €,obavezan depozit,,Kragujevac,Gradske lokacije,Erdoglija,Erdoglija,55m²,,2.5 sobe,,centralno grejanje,,,,2/2 sprata,,,"2 parking mesta, javni parking van zone",,kupatilo,namešteno,,,,,,,,,,072HX,Izdaje se dvoiposoban stan u Erdogliji. Stan je pogodan za dva/tri studenta ili za porodicu. U cenu su uracunati troskovi.,https://www.4zida.rs/izdavanje/stanovi/kragujevac/oglas/erdoglija/60ae44a26e62e006f2334abe
izdavanje,stan,230 €,,,Kragujevac,Gradske lokacije,Aerodrom,Centar,63m²,,3 sobe,,,,renovirano,1984. godine,prizemlje/9 spratova (nije poslednji sprat),ima lift (1),"terasa, lođa",,,kupatilo,namešteno,"telefon, interfon, klima",,,,,,,,,2384,"Stan se nalazi u naselju Aerodrom, kvadrature 63 kvm, u prizemlju, sa centralnim grejanjem, lift u zgradi. Sastoji se od predsoblja, kupatila, kuhinje sa trpezarijom, tri sobe, zastakljene terase i lođe. Stan se izdaje neopremljen ( sem kuhinje). Uknjižencen: 230 eura + komunalije",https://www.4zida.rs/izdavanje/stanovi/kragujevac/oglas/centar/61f40a650bebe029e65ec1c3
izdavanje,stan,130 €,,,Kragujevac,Gradske lokacije,Centar,Bubanj,30m²,,1 soba,,centralno grejanje,,uobičajeno stanje,,prizemlje,,,,,,prazno,"kablovska, internet, interfon",,,,,,,,,IS151020221920154VJ,Izdaje se stan u Kragujevcu - naselje Bubanj,https://www.4zida.rs/izdavanje/stanovi/kragujevac/oglas/bubanj/61f551f7c823c30a1340cee3
izdavanje,stan,220 €,obavezan depozit,,Kragujevac,Gradske lokacije,Ozon,Ozon,60m²,,1 soba,,grejanje na gas,,novo,,4/4 sprata,ima lift (1),terasa,1 parking mesto,,kupatilo,polunamešteno,kuhinjski elementi,,,,,,,,,152HX,Izdaje se jednosoban stan kao poslovni prostor. U narednih par dana bice opremljena kuhinja. Stan je u novogradnji. Poseduje terasu. Grejanje je na gas.,https://www.4zida.rs/izdavanje/stanovi/kragujevac/oglas/ozon/61f8f869ac7734789f1e5abf
izdavanje,stan,400 €,,zabranjeni kućni ljubimci,Niš,Gradske lokacije,Medijana,Trg Pavla Stojkovića,66m²,,3 sobe,,grejanje na struju,,,,2. sprat,,terasa,1 parking mesto,,toalet,namešteno,"klima, veš mašina",,,,,,,,,i-04812,"Izdaje se namešten  troiposoban stan  u blizini centra grada na drugom spratu u zgradi bez lifta. Površina stana je  66m2. Stan se sastoji iz ulaznog hodnika, dnevne sobe sa kuhinjom i trpezarijom, tri spavaće sobe, toaleta, zastakljene terase i svog parking mesta. Grejanje  je  na struju.Stan se može izdati i prazan ili kao poslovni prostor zavisno od potrebe zakupca.Kompletno je opremljen nameštajem i belom tehnikom.Lepo je orjentisan i osvetljen.Izdaje se na duži vremensaki period ozbiljnim zakupcima. Agencijska usluga je 50% od prve mesečne zakupnine. Za više informacija javite se na telefon agencije. Ovo je samo deo naše ponude.Naša preporuka Vaš izbor! Ovu kao i druge nekretnine možete pogledati na našem sajtu. Čekamo Vas!",https://www.4zida.rs/izdavanje/stanovi/nis/oglas/trg-pavla-stojkovica/61c490cf1adaa7488d4b04c8
izdavanje,stan,2.000 €,obavezan depozit,,Beograd,Novi Beograd,Blok 65,WELLPORT,102m²,,4 sobe,,centralno grejanje,,novo,,2. sprat,ima lift (1),terasa,,"1 garažno mesto, u sklopu zgrade",kupatila (2),namešteno,"internet, klima",,,,,,,,,,Lux 4.0 stan sa garaznim mestom u Wellportu.For rent beautiful four bedroom smart homeExcellent location - west 65Best quality home in BelgradeExing Smart BuildingsFully furnished Smart built equipment 24/7 Security and reception Private car park ( 2 spaces underground )CCTV Super fast fiber optic internet Private kids playground Secured and ready to go,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/wellport/61a3e8514d34f17b4e7aebf7
izdavanje,stan,700 €,obavezan depozit,,Beograd,Novi Beograd,A Blok - Blok 67a, JURIJA GAGARINA,55m²,,2 sobe,,centralno grejanje,,novo,,3. sprat,ima lift (1),terasa,,"1 garažno mesto, u sklopu zgrade",kupatilo,namešteno,"internet, video nadzor, klima",,,,,,,,,,"Luksuzan, neuseljavan i apartmanski opremljen stan.Zgrada ima cuvara 24h dnevno i video nadzor. Uz stan ide i i garazno mesto uz doplatu 50e.PET FRIENDLY.Luksuz predstavlja komfor, uživanje, kvalitet i sigurnost, a naši stanovi pružaju sve to i mnogo više. Za jos slicnih, luksuznih nekretnina, pozovite na broj - 0649771898",https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/jurija-gagarina/6162c5529de280201d66e7aa
izdavanje,stan,700 €,,,Beograd,Savski Venac,Dedinje,Mihaila Avramovića,92m²,,3 sobe,,centralno grejanje,,renovirano,,1/2 sprata (nije poslednji sprat),,terasa,1 parking mesto,1 garažno mesto,,namešteno,"telefon, kablovska, internet, interfon, klima",,,,,,,,,1990,"Svetao komforan stan u  manjoj ograđenoj zgradiod 4 stana, sa velikim dvorištem i parking mestom u dvorištu, na odličnoj poziciji, blizina Belog dvora . Stan je na 1.spratu od 2, sa lepom velikom terasom, okružen zelenilom. Renoviran, održavan,  klasično namešten,  kompletna kuhinja, udoban i jako prijatan, sa 2 sanitarna čvora i ostavom. Veliki  nov ugradni garderober. Pogodan za strance,  poslovne osobe,porodicu,  par, dogovor na duži rok.  Plaćanje mesečno, depozit, agencijska provizija 50% po realizaciji. D060314",https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/mihaila-avramovica/61f2c8b42ff18961a5113633
