usluga,tip,cena,grad,sira_lokacija,uza_lokacija,adresa,povrsina,plac,broj_soba,uknjizenost,grejanje,broj_etaza,stanje,godina_izgradnje,spratnost,lift,infrastruktura,parking,garaza,unutrasnje_prostorije,namestenost,opremljenost,useljivo,orijentacija_nekretnine,tip_objekta,tip_stana,tip_kuce,sifra_oglasa,opis,link,latitude,longitude,udaljenost_od_centra
prodaja,stan,2.000 €,Beograd,Palilula opština,Krnjača,Partizanski blok ulica 1.,50m²,,2 sobe,,grejanje na struju,,novo,,prizemlje,,,,,kupatilo,prazno,telefon,,,,,,1080,"U prilici smo da Vam ponudimo stanove građene po najvišim standardima gradnje kao i visoke energetske efikasnosti. Nalaze se u najtraženijem i najlepšem delu naselja Krnjača na svega par kilometara od Trga Republike. Sam koncept zgrade sa malo stanova daje komfor humanog stanovanja. Visina plafona je 5metara što daje mogućnost duple kvadrature odnosno duplex stana ili adaptaciju u dve zasebne stambene jedinice. U ponudi su stanovi od 50m2, 39m2 i 27m2 Objekat ima Građevinsku dozvolu. Rok useljenja je mart 2022.godine. Cena je po kvadratu. Agent Skokna Snežana 064/8132 137",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/partizanski-blok-ulica-1/61a10af38134b37021448273,44.8427785,20.4837097,3.4815998903754695
prodaja,stan,275.000 €,Beograd,Zvezdara opština,Lion,Batutova,162m²,,6 soba,uknjiženo,etažno grejanje,,renovirano,,3/4 sprata (nije poslednji sprat),,"terase (2), lođa",,,,,telefon,useljivo,,,,,1958,"AGENCIJSKA PROVIZIJA 2% OPIS NEKRETNINE : uknjižen, penthause na odličnoj lokaciji. Prostrani duplex u odličnom stanju sa 3 kupatila. Na donjem nivou je salonska visina, adaptibilan , odličan stan za svaku preporuku. PROSTORIJE : prvi nivo : predsoblje, velika kuhinja, komforan dnevni boravak sa trpezarijskim delom, manja soba, kupatilo, terasa, drugi nivo : predsoblje, četiri spavaće sobe, dva kupatila, terasa.",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/batutova/5b313058b70c595ae20b3714,44.7973015,20.4994154,4.063795519546777
prodaja,stan,270.000 €,Beograd,Palilula opština,Palilula,Dr Dragoslava Popovića,105m²,,4 sobe,uknjiženo,centralno grejanje,,novo,,3/5 spratova (nije poslednji sprat),ima lift (1),"podrum, terasa",,1 garažno mesto,,namešteno,"telefon, klima",useljivo,,,,,102447624,"Agencijski ID: 47624, III/V, klima, lift, telefon, terasa(2), uknjižen, nov luks, novogradnja, garaza, podrum, stambena zgrada. Srboljub. Više informacija na: www.beocitynekretnine.rs Agencijska provizija 2%. Telefoni: 060/328-3901 • 060/555-9720 • 011/328-3901. Kontakt van radnog vremena: info@beocitynekretnine.rs",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/dr-dragoslava-popovica/618e579146bc0728c94742d3,44.8119513,20.4743584,1.5261038618634986
prodaja,stan,610.000 €,Beograd,Vračar,Neimar,Braničevska,153m²,,4 sobe,u procesu uknjižavanja,podno grejanje,,novo,2020. godine,1/6 spratova (nije poslednji sprat),ima lift (1),terasa,,"2 garažna mesta, u sklopu zgrade","kupatila (2), toalet, kuhinja",namešteno,,useljivo,,,,,65,"Izuzetan stan u novogradnji vrhunskog kvaliteta na atraktivnoj lokaciji , lako dostupnoj iz svih pravaca u neposrednoj blizini Hrama Svetog Save.Stan je veoma komforan , luksuzan rađen od najkvalitetnijih materijala, prvoklasni hrastov parket, vrhunska keramika, alu-drvo stolarija. Fan coil sistem hlađenja i grejanja, podno grejanje pod keramičkim površinama.Stan se sastoji iz komfornog predsoblja, prostranog dnevnog boravka sa trpezarijskim delom i kompletno opremljene kuhinje. Ima 3 spavaće sobe , od kojih je jedna master sa svojim garderoberom i kupatilom sa tuš kabinom, izdvojen spavaći blok sa još dve komforne spavaće sobe sa plakarima i kupatilom. Stan poseduje jos i gostinski toalet , ostavu/tehničku sobu koja služi kao vešernica i veliku terasu.Prodaje se kompletno namešten i opremljen, u stanu je sve novo i kvalitetno. Svaka soba ima po tv aparat, kuhinja je kompletno nameštena, BOSCH tehnika – kombinovani veliki frižider, sudomašina, aspirator, ravna ploča, ugradna rerna i mikrotalasna.Visina plafona je skoro 3m.Stan je odmah useljiv, nepotrebna su ulaganja.Ulaz zgrade je reprezentativan i komforan. Luksuzna novogradnja.Doplata za 2 garažna mesta u zgradi.agencijska provizija 2%",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/branicevska/61a1154f82312b5e4a63e14d,44.7945064,20.4694296,2.7796690023091792
prodaja,stan,193.000 €,Beograd,Stari Grad opština,Dorćol,Dobračina,72m²,,2.5 sobe,uknjiženo,TA peć,,,,5/5 spratova,ima lift (1),terasa,,,,,,,,,,,,"U centru grada na odličnoj lokaciji prodajemo 2,5-soban stan. Trostrano orijentisan i svetao stan. Uknjižen. TA grejanje. Lift do IV sprata. Potkrovlje.",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/dobracina/615c11e915b5607278071247,44.8191491,20.4621079,0.4301485593686269
prodaja,stan,97.000 €,Beograd,Novi Beograd,Paviljoni,Radoja Dakića,54m²,,2 sobe,uknjiženo,centralno grejanje,,,1962. godine,1/5 spratova (nije poslednji sprat),,terasa,"1 parking mesto, javni parking van zone",,kupatilo,,,,,,,,,"Funkcionalan dvosoban stan adaptibilan u dvoiposoban, u veoma korektnom stnju, jugoistočno orjentisan, izuzetno svetao. Sastoji se iz hodnika,  zasebne kuhinje sa ostavom, kupatila sa prirodnom ventilacijom, dnevnog boravaka,  prostrane spavaće sobe i terase dužinom celog stana. Ima pripadajući podrum, ulaz uredan i održavan, ispred zgrde je park sa zelenilom. Miran i tih kraj. U neposrednoj blizini zgrade se nalazi sva potrebna logistika. Za svaku preporuku.Agencijska provizija iznosi 2%.",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/radoja-dakica/61a55278e485202a41770c05,44.8276905,20.3999317,4.640220947227226
prodaja,stan,500.000 €,Beograd,Vračar,Crveni Krst Vračar,Crveni Krst Vračar,158m²,,4.5 sobe,,centralno grejanje,,novo,,6/6 spratova,ima lift (1),terasa,1 parking mesto,1 garažno mesto,,namešteno,"kablovska, internet, video nadzor, interfon, klima",,,,,,56953,"Prodaje se 4.5-158kv, lux, nov, namesten, 2 kupatila, garderober, 2 terase, 2 garazna mesta.  Za vise informacija pozvati 0631422642",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/crveni-krst-vracar/616570965960a418461b2333,44.8002098,20.4799558,2.677602322512736
prodaja,stan,109.000 €,Beograd,Voždovac opština,Braće Jerković,IVANA BOŽIĆA,78m²,,3.5 sobe,,grejanje na gas,,,2021. godine,prizemlje/3 sprata (nije poslednji sprat),,terasa,,,,prazno,"telefon, interfon",,,,,,25401,"Veoma svetao i funkcionalan 3.5 stan u kvalitetnoj novogradnji. Stan se sastoji od predsoblja, dnevnog boravka sa kuhinjom i trpezarijom, odvojenog spavaćeg bloka (3 spavaće sobe) , kupatila, toaleta i terase. Merena površina stana sa terasom je 78m2. Ugovorna površina stana 66m2. Planiran završetak radova je januar 2022.godine. U cenu uračunat PDV. Mogućnost povraćaja PDV-a za kupce prvog stana. Za svaku preporuku.Agencijska provizija koju plaća kupac je 2% gr.dozvola STEVAN, licenca br.2749 062/8860356 PR/3 IVANA BOŽIĆA",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/ivana-bozica/619788e3799b7b14d16401d3,44.7672566,20.5048541,6.784142203711797
prodaja,stan,185.000 €,Beograd,Vračar,Slavija,NEMANJINA,92m²,,3 sobe,,etažno grejanje,,,1930. godine,1/3 sprata (nije poslednji sprat),,terase (2),,,,prazno,,useljivo,,,,,20775,"Odličan salonac na Slaviji. Pogodan i za poslovni prostor. Deljiv u dve stambene ili poslovne jedinice. Dva ulaza. Dvostrano orjentisan. Delimično renoviran.Prazan, odmah useljiv. Za preporuku.Agencijska provizija koju plaća kupac je 2% uknjizen Jelena Simic, licenca br. 265 011/3835393, 069/1860350 1/3 NEMANJINA",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/nemanjina/609bba2b434ec957f10bfde8,44.8028947,20.4650835,1.7861568198395292
prodaja,stan,233.310 €,Beograd,Voždovac opština,Voždovac,BILEĆKA,101m²,,4 sobe,uknjiženo,,,,,4/5 spratova (nije poslednji sprat),ima lift (1),terase (2),,,,prazno,,,,,,,60216,"Četvorosoban stan površine 101,35m2. Novogradnja. U cenu uračunat PDV. Etažno grejanje na gas. Keramika visokog kvaliteta. Uknjižen na osnovu pravosnažnog rešenja o ozakonjenju.Agencijska provizija koju plaća kupac iznosi 2% uknjižen Sima Delić, br.licence 2195 011/6281677, 062/8860340 4/5 BILEĆKA",https://www.4zida.rs/prodaja/stanovi/beograd/oglas/bilecka/602e45b98d898c1c7c1584b4,44.7699273,20.4774872,5.572163540931327
