cena,povrsina,grejanje,spratnost,infrastruktura,udaljenost_od_centra
2000.0,50.0,grejanje na struju,prizemlje,nema,3.481599890375469
275000.0,162.0,etažno grejanje,3,ima,4.063795519546777
270000.0,105.0,centralno grejanje,3,ima,1.5261038618634986
610000.0,153.0,podno grejanje,1,ima,2.7796690023091792
193000.0,72.0,TA peć,5,ima,0.4301485593686269
97000.0,54.0,centralno grejanje,1,ima,4.640220947227227
500000.0,158.0,centralno grejanje,6,ima,2.677602322512736
109000.0,78.0,grejanje na gas,prizemlje,ima,6.784142203711798
185000.0,92.0,etažno grejanje,1,ima,1.7861568198395292
149000.0,90.0,centralno grejanje,1,ima,4.2896973851783615
61800.0,38.0,etažno grejanje,prizemlje,nema,4.540374417350192
115000.0,47.0,centralno grejanje,7,ima,5.996472446468091
153000.0,72.0,grejanje na gas,prizemlje,ima,6.066268308456639
86000.0,58.0,etažno grejanje,2,nema,5.8233180930554855
139000.0,72.0,centralno grejanje,1,ima,6.703099944683712
49000.0,69.0,grejanje na struju,3,nema,12.012409359592759
92000.0,40.0,centralno grejanje,1,nema,4.297332714165572
225000.0,208.0,etažno grejanje,6,ima,7.82352986851415
320000.0,160.0,centralno grejanje,5,ima,3.479047970110821
344430.0,115.0,centralno grejanje,1,ima,3.683555144327139
118000.0,65.0,centralno grejanje,4,nema,4.1769756454298035
130000.0,74.0,centralno grejanje,5,ima,5.789392288235568
180000.0,62.0,etažno grejanje,1,nema,0.9191799188218671
195000.0,74.0,centralno grejanje,1,nema,3.7040329556577145
450000.0,139.0,centralno grejanje,1,ima,6.703099944683712
174000.0,71.0,centralno grejanje,prizemlje,ima,3.3310403768950017
319900.0,127.0,centralno grejanje,6,ima,4.408607538033858
750000.0,187.0,grejanje na struju,1,ima,4.7468962532621735
145000.0,89.0,centralno grejanje,2,ima,4.645699633952249
171600.0,76.0,centralno grejanje,prizemlje,ima,4.359920312431569
129000.0,51.0,centralno grejanje,1,ima,3.598249175501236
143000.0,62.0,centralno grejanje,5,ima,7.471627532636062
79800.0,55.0,etažno grejanje,prizemlje,nema,7.2220306934977545
428000.0,150.0,grejanje na gas,prizemlje,ima,6.044196718346993
71000.0,34.0,centralno grejanje,1,ima,7.447780332468217
204000.0,78.0,centralno grejanje,3,ima,3.2490028309141783
75000.0,34.0,centralno grejanje,prizemlje,nema,2.627957551336704
205000.0,64.0,centralno grejanje,2,ima,2.0715103600216773
135000.0,44.0,centralno grejanje,1,nema,0.8560962461950152
103000.0,54.0,centralno grejanje,7,ima,2.6272298710712385
35000.0,36.0,etažno grejanje,prizemlje,ima,14.444190102380269
118000.0,71.0,centralno grejanje,2,nema,5.757537775658121
41000.0,34.0,etažno grejanje,2,ima,9.021792999956716
75000.0,49.0,centralno grejanje,1,ima,7.339728780020617
129000.0,70.0,etažno grejanje,prizemlje,ima,4.272886557937058
127000.0,121.0,centralno grejanje,2,ima,6.539188073663465
135000.0,110.0,centralno grejanje,6,ima,9.18213622475052
209000.0,100.0,centralno grejanje,1,ima,2.8972359647441865
90000.0,65.0,centralno grejanje,1,ima,6.412357511311248
125000.0,52.0,centralno grejanje,6,nema,3.5801516292213327
460000.0,195.0,centralno grejanje,5,ima,0.19231760178087196
46000.0,26.0,grejanje na struju,prizemlje,nema,3.84199225524683
88000.0,23.0,etažno grejanje,6,ima,0.9191799188218671
215000.0,103.0,centralno grejanje,3,nema,1.975255650206564
74000.0,35.0,etažno grejanje,2,ima,3.435204227922716
119000.0,60.0,centralno grejanje,1,ima,2.894351772273123
70000.0,36.0,etažno grejanje,1,ima,8.758272925844354
57000.0,32.0,centralno grejanje,6,nema,6.997654580422821
56000.0,32.0,centralno grejanje,prizemlje,nema,1.6590151136231073
310000.0,114.0,centralno grejanje,2,ima,2.6383332484857016
79000.0,39.0,etažno grejanje,prizemlje,ima,4.653807451686166
62000.0,37.0,etažno grejanje,prizemlje,nema,5.74874720005473
189550.0,87.0,centralno grejanje,>7,ima,4.780193666484915
128000.0,80.0,centralno grejanje,2,ima,6.703099944683712
125000.0,52.0,centralno grejanje,6,ima,3.5801516292213327
189000.0,86.0,centralno grejanje,5,ima,4.2896973851783615
145000.0,58.0,centralno grejanje,prizemlje,nema,0.7847696277326253
108500.0,62.0,podno grejanje,prizemlje,nema,5.954854615403812
415000.0,106.0,centralno grejanje,1,ima,4.493348355195524
91000.0,40.0,centralno grejanje,1,nema,4.297332714165572
185000.0,75.0,centralno grejanje,6,ima,0.9521471362131608
44300.0,29.0,etažno grejanje,2,nema,5.132286152175055
243000.0,81.0,etažno grejanje,1,nema,12.017647255338664
125000.0,52.0,centralno grejanje,6,ima,3.5801516292213327
91200.0,48.0,etažno grejanje,1,ima,5.127671854523384
86100.0,42.0,centralno grejanje,3,ima,3.885494758264391
175000.0,60.0,centralno grejanje,3,ima,4.493348355195524
129900.0,66.0,centralno grejanje,4,nema,5.683609052509876
195000.0,74.0,centralno grejanje,1,ima,3.7040329556577145
450000.0,228.0,centralno grejanje,5,ima,4.645699633952249
366000.0,95.0,centralno grejanje,6,ima,1.5784521202377004
163000.0,60.0,norveški radijatori,5,ima,8.892089876704894
143000.0,79.0,centralno grejanje,1,ima,7.367339539858822
450000.0,110.0,etažno grejanje,2,ima,0.4529068970388588
135000.0,100.0,etažno grejanje,4,ima,4.621981593511354
210000.0,86.0,etažno grejanje,5,ima,1.5784521202377004
371900.0,120.0,centralno grejanje,5,nema,1.2264592815283115
230000.0,116.0,etažno grejanje,2,ima,6.568542146560131
299000.0,96.0,centralno grejanje,6,ima,6.703099944683712
185070.0,82.0,centralno grejanje,1,ima,4.780193666484915
45000.0,36.0,etažno grejanje,3,nema,9.80749063119086
118000.0,65.0,centralno grejanje,4,nema,4.1769756454298035
81500.0,37.0,centralno grejanje,prizemlje,nema,3.755883576316031
71000.0,43.0,etažno grejanje,4,ima,5.132286152175055
145000.0,86.0,centralno grejanje,1,ima,6.224999879203494
128000.0,75.0,TA peć,4,nema,1.9060570089769309
149000.0,46.0,centralno grejanje,prizemlje,nema,2.1299050739714414
180000.0,100.0,centralno grejanje,4,ima,2.690758144074218
86000.0,48.0,centralno grejanje,7,ima,6.703099944683712
93000.0,37.0,centralno grejanje,3,nema,2.1299050739714414
375000.0,102.0,etažno grejanje,1,ima,0.8634310925834158
125000.0,105.0,centralno grejanje,3,ima,7.250793638199093
250000.0,100.0,grejanje na struju,1,ima,0.42666109115793055
89500.0,42.0,grejanje na struju,suteren,nema,2.466854668462894
235000.0,88.0,centralno grejanje,5,ima,2.32671064325996
153000.0,72.0,grejanje na gas,prizemlje,ima,6.066268308456639
161500.0,76.0,etažno grejanje,1,ima,4.627809124287993
192900.0,91.0,etažno grejanje,1,ima,4.627809124287993
207000.0,91.0,etažno grejanje,3,ima,4.627809124287993
58500.0,90.0,etažno grejanje,1,ima,11.920072721153614
415000.0,106.0,centralno grejanje,1,ima,4.493348355195524
174900.0,66.0,norveški radijatori,4,ima,6.055042101458558
70000.0,80.0,etažno grejanje,prizemlje,ima,5.25425903973434
287800.0,109.0,etažno grejanje,2,ima,0.6058232092352592
378000.0,116.0,centralno grejanje,5,nema,2.213538089096682
86000.0,41.0,podno grejanje,prizemlje,ima,5.737602382916357
287000.0,73.0,centralno grejanje,2,ima,0.13813775814666307
135000.0,56.0,centralno grejanje,1,ima,2.827239875322618
106000.0,37.0,TA peć,2,nema,0.5901342755263618
71000.0,43.0,etažno grejanje,4,ima,5.132286152175055
220000.0,92.0,centralno grejanje,2,ima,4.142521076655837
119000.0,72.0,centralno grejanje,1,ima,6.703099944683712
170000.0,120.0,centralno grejanje,0,nema,0.9350444016529624
118500.0,79.0,centralno grejanje,prizemlje,ima,5.809226980679746
128000.0,64.0,centralno grejanje,5,ima,2.6272298710712385
103000.0,47.0,centralno grejanje,4,ima,5.016080328283931
115000.0,58.0,centralno grejanje,1,ima,6.703099944683712
279900.0,131.0,grejanje na struju,1,ima,2.2590395219412804
74000.0,121.0,centralno grejanje,1,ima,11.47825649298916
90000.0,65.0,grejanje na gas,prizemlje,ima,7.343773769831586
134500.0,91.0,centralno grejanje,1,ima,7.384634081893263
350000.0,112.0,centralno grejanje,2,ima,4.408607538033858
91000.0,51.0,centralno grejanje,4,ima,4.142521076655837
172500.0,75.0,centralno grejanje,1,ima,0.8732611754312009
280000.0,111.0,etažno grejanje,6,ima,6.981740222984074
65000.0,54.0,grejanje na struju,1,ima,12.17233344752516
500000.0,163.0,centralno grejanje,7,ima,2.5013375226004797
480000.0,128.0,centralno grejanje,1,ima,0.19231760178087196
169900.0,92.0,centralno grejanje,6,ima,2.827239875322618
82000.0,50.0,grejanje na gas,prizemlje,nema,7.15110812646986
139000.0,70.0,centralno grejanje,1,nema,3.613281493062914
39000.0,20.0,grejanje na struju,3,nema,4.99686924357952
305124.0,130.0,centralno grejanje,1,ima,2.0226903329788084
189900.0,104.0,centralno grejanje,1,ima,1.525684079345828
163000.0,71.0,centralno grejanje,4,nema,3.5333962755164707
67000.0,50.0,centralno grejanje,suteren,nema,2.6496467107738804
341000.0,131.0,podno grejanje,2,ima,4.7468962532621735
178850.0,73.0,etažno grejanje,1,ima,3.53178883913707
237650.0,103.0,etažno grejanje,1,ima,3.53178883913707
380700.0,141.0,etažno grejanje,6,ima,3.53178883913707
106000.0,37.0,etažno grejanje,2,nema,0.5901342755263618
900000.0,206.0,grejanje na gas,3,ima,4.7468962532621735
99000.0,58.0,centralno grejanje,6,nema,5.938591758432152
97900.0,51.0,centralno grejanje,1,ima,6.090822788781496
60000.0,55.0,centralno grejanje,2,ima,10.66749668677571
187000.0,94.0,etažno grejanje,3,ima,0.9350444016529624
250000.0,80.0,etažno grejanje,prizemlje,nema,0.34639317163167943
192800.0,80.0,centralno grejanje,4,ima,1.0322322904597083
198000.0,79.0,centralno grejanje,3,ima,2.5013375226004797
180000.0,66.0,centralno grejanje,1,ima,1.1637496549025328
75000.0,54.0,etažno grejanje,suteren,ima,4.065531770792453
92300.0,71.0,grejanje na gas,prizemlje,nema,9.795800662551077
79500.0,66.0,centralno grejanje,1,ima,6.806035518955173
129000.0,100.0,grejanje na struju,1,ima,7.367339539858822
103000.0,54.0,centralno grejanje,7,ima,2.6272298710712385
109000.0,63.0,grejanje na struju,1,nema,2.0540124333614065
220000.0,88.0,centralno grejanje,>7,ima,4.140667980210856
209000.0,91.0,centralno grejanje,>7,nema,7.0186614685556865
176850.0,76.0,etažno grejanje,prizemlje,ima,4.627809124287993
184200.0,87.0,etažno grejanje,prizemlje,ima,4.627809124287993
89500.0,35.0,etažno grejanje,1,nema,3.7025546503348488
62000.0,40.0,centralno grejanje,4,nema,6.626268161439737
107000.0,53.0,centralno grejanje,3,ima,4.4444355205624415
65000.0,42.0,grejanje na struju,prizemlje,ima,1.9060570089769309
97000.0,66.0,centralno grejanje,1,ima,6.224999879203494
86870.0,51.0,etažno grejanje,2,ima,5.013455552487644
140000.0,72.0,grejanje na struju,2,ima,1.9924396548349657
162000.0,64.0,centralno grejanje,3,ima,3.598249175501236
127000.0,71.0,centralno grejanje,4,ima,2.015341040269244
84000.0,45.0,centralno grejanje,7,ima,6.703099944683712
89800.0,63.0,centralno grejanje,6,nema,6.2844446472815285
120000.0,81.0,centralno grejanje,1,ima,7.054235049411947
